약국명,도로명주소,자치구,행정동,심야약국,유년부양비,노년부양비,노령화지수,종합병원,병원,의원,치과병원,치과의원,한방병원,한방의원,인구밀도,한국인 0~4세,한국인 5~9세,한국인 10~14세,한국인 15~19세,한국인 20~24세,한국인 25~29세,한국인 30~34세,한국인 35~39세,한국인 40~44세,한국인 45~49세,한국인 50~54세,한국인 55~59세,한국인 60~64세,한국인 65~69세,한국인 70~74세,한국인 75~79세,한국인 80~84세,한국인 85~89세,한국인 90~94세,한국인 95~99세,한국인 100세 이상,외국인 0~4세,외국인 5~9세,외국인 10~14세,외국인 15~19세,외국인 20~24세,외국인 25~29세,외국인 30~34세,외국인 35~39세,외국인 40~44세,외국인 45~49세,외국인 50~54세,외국인 55~59세,외국인 60~64세,외국인 65~69세,외국인 70~74세,외국인 75~79세,외국인 80~84세,외국인 85~89세,외국인 90~94세,외국인 95~99세,외국인 100세 이상
비타민약국,서울특별시 서대문구 연세로 36 (창천동 독수리빌딩),서대문구,신촌동,0,5.4,10.3,192.9,2,5,211,2,125,1,92,8765,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
푸름약국,서울특별시 서대문구 연희로 119 1층 (연희동),서대문구,연희동,0,9.8,21.2,216.9,2,5,211,2,125,1,92,12821,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
대형약국,서울특별시 서대문구 북아현로 4 (북아현동),서대문구,북아현동,0,16,18.7,117,2,5,211,2,125,1,92,36861,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
혜민약국,서울특별시 서대문구 통일로34길 35 2층 219 230호 (홍제동 현대종합상가),서대문구,홍제2동,0,12.3,28,227.4,2,5,211,2,125,1,92,17696,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
유진온누리약국,서울특별시 서대문구 연희로 85 105호 (연희동 인사이드빌딩),서대문구,연희동,0,9.8,21.2,216.9,2,5,211,2,125,1,92,12821,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
한신약국,서울특별시 서대문구 통일로 397 B419420호 (홍제동 인왕산 한신휴플러스 상가),서대문구,홍제1동,0,13.5,27,200.3,2,5,211,2,125,1,92,20003,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
우리마을 홍제약국,서울특별시 서대문구 통일로 440 (홍제동),서대문구,홍제3동,0,10.7,34.2,319,2,5,211,2,125,1,92,15222,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
햇살약국,서울특별시 서대문구 수색로 100 101동 104호 (북가좌동 DMC래미안e편한세상),서대문구,북가좌1동,0,18.1,23.1,127.5,2,5,211,2,125,1,92,33740,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
참진 온누리 약국,서울특별시 서대문구 북아현로 52 (북아현동),서대문구,충현동,0,11.6,21.9,188.9,2,5,211,2,125,1,92,18954,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
무악메디칼약국,서울특별시 서대문구 연희로 407 연희8빌딩 1층 (홍은동),서대문구,홍은2동,0,10.4,26.1,249.8,2,5,211,2,125,1,92,13463,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
한미약국,서울특별시 서대문구 수색로 30 지하1층 1층 (남가좌동),서대문구,남가좌1동,0,28.2,20.8,73.8,2,5,211,2,125,1,92,31649,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
건강약국,서울특별시 서대문구 가재울로6길 53-61 1층 (남가좌동),서대문구,남가좌2동,0,17.2,21.9,127.6,2,5,211,2,125,1,92,40255,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
파인약국,서울특별시 서대문구 신촌로 65 1층 (창천동),서대문구,신촌동,0,5.4,10.3,192.9,2,5,211,2,125,1,92,8765,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
공덕오거리약국,서울특별시 마포구 새창로 11 1층 (도화동),마포구,도화동,0,14.4,24.1,167.3,0,3,375,3,204,2,151,35481,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
메디팜신마포약국,서울특별시 마포구 창전로 45 103동 108호 (창전동 서강한화오벨리스크 단지내 상가),마포구,서강동,0,13,16.3,125,0,3,375,3,204,2,151,17508,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
한유약국,서울특별시 마포구 백범로 96 1층 (대흥동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
안생약국,서울특별시 마포구 와우산로 22 1층 (상수동),마포구,서강동,0,13,16.3,125,0,3,375,3,204,2,151,17508,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
연세약국,서울특별시 마포구 성미산로10길 44 1층 (서교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
효성약국,서울특별시 마포구 성미산로 91 1층 (성산동),마포구,성산1동,0,10.3,20,193.5,0,3,375,3,204,2,151,24599,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
광실약국,서울특별시 마포구 도화길 32 101호 (도화동 삼성프라자상가),마포구,도화동,0,14.4,24.1,167.3,0,3,375,3,204,2,151,35481,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
행복한약국,서울특별시 마포구 신촌로 270 308호 (아현동 수창빌딩),마포구,아현동,0,19.4,16.7,86.3,0,3,375,3,204,2,151,34501,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
준약국,서울특별시 마포구 월드컵북로 167 1층 (성산동),마포구,성산2동,0,13,21.1,162.2,0,3,375,3,204,2,151,19647,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
사랑이가득한약국,서울특별시 마포구 월드컵북로 224 209호 (성산동 청화상가),마포구,성산2동,0,13,21.1,162.2,0,3,375,3,204,2,151,19647,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
기쁨약국,서울특별시 마포구 월드컵로 82 1층 (서교동 소단빌딩),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
비타민약국,서울특별시 마포구 백범로 90 1층 (대흥동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
대흥365약국,서울특별시 마포구 백범로 98 1층 (대흥동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
이대5번출구 옵티마 진룡약국,서울특별시 마포구 대흥로30길 15 1층 (염리동),마포구,염리동,0,17.7,15.9,90,0,3,375,3,204,2,151,29236,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
광명약국,서울특별시 마포구 양화로 191 1층 (동교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
소담약국,서울특별시 마포구 성암로 179 한샘상암 1층 (상암동),마포구,상암동,0,20.1,17.8,88.5,0,3,375,3,204,2,151,3809,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
메디컬 성모약국,서울특별시 마포구 월드컵로 73 1층 (망원동),마포구,망원1동,0,9.9,21.9,220.3,0,3,375,3,204,2,151,18684,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
망원우리약국,서울특별시 마포구 망원로8길 55 구앤윤브릭하우스 1층 (망원동),마포구,망원1동,0,9.9,21.9,220.3,0,3,375,3,204,2,151,18684,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
태평양약국,서울특별시 마포구 홍익로 1 1층 (서교동),마포구,서교동,1,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
은혜약국,서울특별시 마포구 숭문길 221 1층 (대흥동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
늘푸른약국,서울특별시 마포구 백범로 202 1층 102호 (신공덕동 마포케이씨씨웰츠타워),마포구,공덕동,0,11.2,20.6,184.2,0,3,375,3,204,2,151,38366,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
이화바이오약국,서울특별시 마포구 양화로 156 LG팰리스빌딩 306-1호 (동교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
소나무약국,서울특별시 마포구 월드컵북로 402 케이지아이티센터 102호 (상암동),마포구,상암동,0,20.1,17.8,88.5,0,3,375,3,204,2,151,3809,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
평화약국,서울특별시 마포구 양화로 64 서교제일빌딩 2층 202호 (서교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
파란바다약국,서울특별시 마포구 월드컵로1길 14 206호 (합정동 마포 한강 푸르지오),마포구,합정동,0,9.6,19.4,200.6,0,3,375,3,204,2,151,10800,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
수정약국,서울특별시 마포구 마포대로 63-8 삼창프라자빌딩 1층 104호 (도화동),마포구,용강동,0,21.5,18.8,87.6,0,3,375,3,204,2,151,26496,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
피크약국,서울특별시 마포구 양화로 61 두암빌딩 1층 (서교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
유명온누리약국,서울특별시 마포구 만리재옛길 101-1 삼성래미안공덕2차 상가2동 102호 (아현동),마포구,공덕동,0,11.2,20.6,184.2,0,3,375,3,204,2,151,38366,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
망원그랜드약국,서울특별시 마포구 월드컵로 79 유용빌딩 1층 (망원동),마포구,망원1동,0,9.9,21.9,220.3,0,3,375,3,204,2,151,18684,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
우리 이 약국,서울특별시 마포구 백범로 8 우정마샹스 오피스텔 비110호 (노고산동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
우정옵티마약국,서울특별시 마포구 백범로 4 1층 (노고산동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
신촌세민약국,서울특별시 마포구 신촌로 78 1층 (노고산동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
합정365약국,서울특별시 마포구 독막로 14 1층 (합정동),마포구,합정동,0,9.6,19.4,200.6,0,3,375,3,204,2,151,10800,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
셀약국,서울특별시 마포구 양화로 72 1층 118호 (서교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
바른약국,서울특별시 마포구 백범로 101-1 1층 (대흥동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
공덕역마트약국,서울특별시 마포구 백범로 212 2층 (신공덕동 대우 월드마크마포),마포구,공덕동,0,11.2,20.6,184.2,0,3,375,3,204,2,151,38366,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
일출약국,서울특별시 마포구 독막로 85 1층 (상수동),마포구,서강동,1,13,16.3,125,0,3,375,3,204,2,151,17508,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
안녕약국,서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티 S-City 오피스텔동 111호 (상암동),마포구,상암동,0,20.1,17.8,88.5,0,3,375,3,204,2,151,3809,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
옵티마유한약국,서울특별시 마포구 월드컵북로 236 1층 (중동),마포구,성산2동,0,13,21.1,162.2,0,3,375,3,204,2,151,19647,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
서교약국,서울특별시 마포구 월드컵로 72 지1층 (서교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
스마일약국,서울특별시 마포구 백범로37길 26 1층 (신공덕동),마포구,공덕동,0,11.2,20.6,184.2,0,3,375,3,204,2,151,38366,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
마포온누리약국,서울특별시 마포구 큰우물로 76 고려빌딩 101호 (도화동),마포구,용강동,0,21.5,18.8,87.6,0,3,375,3,204,2,151,26496,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
바다약국,서울특별시 마포구 월드컵북로 69 1층 (성산동),마포구,성산1동,0,10.3,20,193.5,0,3,375,3,204,2,151,24599,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
포도약국,서울특별시 마포구 마포대로 44 진도빌딩 1층 (도화동),마포구,도화동,0,14.4,24.1,167.3,0,3,375,3,204,2,151,35481,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
상암센트럴약국,서울특별시 마포구 상암산로 76 YTN 뉴스퀘어 지하1층 (상암동),마포구,상암동,0,20.1,17.8,88.5,0,3,375,3,204,2,151,3809,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
서교연세약국,서울특별시 마포구 양화로 166 미래프라자 지하1층 (동교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
고래약국,서울특별시 마포구 신촌로 지하 90 신촌역 B1 240-107호 (노고산동),마포구,신촌동,1,5.4,10.3,192.9,0,3,375,3,204,2,151,8765,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
홍익약국,서울특별시 마포구 양화로18길 7 1층 (동교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
튼튼약국,서울특별시 마포구 대흥로24길 24 A동 B2층 203호 (염리동),마포구,염리동,0,17.7,15.9,90,0,3,375,3,204,2,151,29236,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
롱약국,서울특별시 마포구 양화로 지하 55 합정역 B1  238-105호 (서교동),마포구,서교동,1,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
자이약국,서울특별시 마포구 대흥로 183 신촌그랑자이 상가 1동 103호 (대흥동),마포구,대흥동,0,8.2,16.2,198.7,0,3,375,3,204,2,151,18233,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
마프자서울약국,서울특별시 마포구 대흥로24길 24 상가A동 206호 (염리동),마포구,염리동,0,17.7,15.9,90,0,3,375,3,204,2,151,29236,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
소마약국,서울특별시 마포구 대흥로 57 1층 (대흥동),마포구,신수동,0,14.9,19,127.9,0,3,375,3,204,2,151,30264,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
해맑은약국,서울특별시 마포구 마포대로 115-12 공덕삼성아파트 상가동 211호 (공덕동),마포구,아현동,0,19.4,16.7,86.3,0,3,375,3,204,2,151,34501,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
봄약국,서울특별시 마포구 백범로31길 7 상가2동 203호 (공덕동 공덕SK리더스뷰),마포구,아현동,0,19.4,16.7,86.3,0,3,375,3,204,2,151,34501,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
새봄약국,서울특별시 마포구 월드컵로13길 34 1층 (망원동 두드림빌딩),마포구,망원1동,0,9.9,21.9,220.3,0,3,375,3,204,2,151,18684,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
2층하늘약국,서울특별시 마포구 월드컵북로 230 201호 (중동 현대상가),마포구,성산2동,0,13,21.1,162.2,0,3,375,3,204,2,151,19647,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
홍대옵티마약국,서울특별시 마포구 양화로 156 117호 (동교동 LG팰리스빌딩),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
하임온누리약국,서울특별시 마포구 도화길 43 108호 (도화동 나눔빌딩),마포구,도화동,0,14.4,24.1,167.3,0,3,375,3,204,2,151,35481,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
