NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
239,문성영치과의원,응급의료기관 이외 > 치과의원,064-753-7769,"제주특별자치도 제주시 서광로 239, 웰빌딩 4층 (삼도일동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
240,(사)한국한센복지협회제주특별자치도지부부설복지피부과의원,응급의료기관 이외 > 의원,064-747-2559,제주특별자치도 제주시 신대로 128 (연동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
241,하귀의원,응급의료기관 이외 > 의원,064-713-2381,제주특별자치도 제주시 애월읍 하귀로 83,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~12:30,-,-
242,누가제통마취통증의학과의원,응급의료기관 이외 > 의원,064-752-5758,"제주특별자치도 제주시 청풍남8길 73, 3층 (화북이동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-
243,이승희산부인과의원,응급의료기관 이외 > 의원,064-756-1199,제주특별자치도 제주시 서광로 208-1 (삼도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,09:00~12:00,-,-
244,공감성형외과의원,응급의료기관 이외 > 의원,064-702-0310,"제주특별자치도 제주시 중앙로 310, 1,2층 (이도이동)",10:00~19:00,10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~14:00,-,-
245,다나한의원,응급의료기관 이외 > 한의원,064-721-0050,"제주특별자치도 제주시 중앙로 77, 2층 (이도일동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-
246,다사랑의원,응급의료기관 이외 > 의원,064-745-7582,제주특별자치도 제주시 신대로 128 (연동),09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~18:30,09:00~13:00,-,-
247,더아이맘한의원,응급의료기관 이외 > 한의원,064-747-0513,제주특별자치도 제주시 연북로 543 (이도이동),09:30~20:00,09:30~20:00,-,09:30~20:00,09:30~20:00,09:30~17:00,-,-
248,동인당한의원,응급의료기관 이외 > 한의원,064-744-7575,"제주특별자치도 제주시 도령로 21, 동인빌딩 3층 (노형동)",09:30~19:00,09:30~19:00,09:30~19:00,14:30~19:00,09:30~19:00,09:30~12:00,-,-
249,서문의원,응급의료기관 이외 > 의원,064-722-7574,제주특별자치도 제주시 서문로 68 (용담일동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,-,-
250,연세모벨르의원,응급의료기관 이외 > 의원,064-745-2784,"제주특별자치도 제주시 노형로 407, 4층 401호 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,-,-
251,임소아과의원,응급의료기관 이외 > 의원,064-747-0431,"제주특별자치도 제주시 월랑로10길 32-1 (노형동,(월랑로10길32-1))",08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:00,08:30~18:00,08:30~13:00,-,-
252,임지영한의원,응급의료기관 이외 > 한의원,064-752-0752,제주특별자치도 제주시 연삼로 547 (일도이동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~20:30,09:00~19:00,09:00~14:00,-,-
253,제주맘모아외과의원,응급의료기관 이외 > 의원,064-713-3210,"제주특별자치도 제주시 연북로 38, 6층 (노형동, 연동타운)",09:00~19:30,09:00~18:00,09:00~18:00,09:00~12:00,09:00~19:30,09:00~13:00,-,-
254,탐라미의원,응급의료기관 이외 > 의원,064-745-7983,"제주특별자치도 제주시 서해안로 24, 2층 (이호일동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~15:00,-,-
255,탐라의원,응급의료기관 이외 > 의원,064-796-1655,제주특별자치도 제주시 한림읍 한림로 684,07:30~17:00,07:30~17:00,07:30~17:00,07:30~17:00,07:30~17:00,08:00~12:00,-,-
256,행복한가정의학과의원,응급의료기관 이외 > 의원,064-712-3535,제주특별자치도 제주시 수덕1길 3 (노형동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
257,행복한치과의원,응급의료기관 이외 > 치과의원,064-721-7522,"제주특별자치도 제주시 동광로 97 (일도이동, 이룸해피안)",09:00~17:30,09:00~17:30,09:00~12:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-
258,제주사랑요양병원,응급의료기관 이외 > 요양병원,064-783-7350,제주특별자치도 제주시 조천읍 신조로 203,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
259,장은식치과의원,응급의료기관 이외 > 치과의원,064-744-2275,"제주특별자치도 제주시 도령로 9, 정각빌딩 3층 (노형동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
260,제주우리병원,응급의료기관 이외 > 병원,064-1899-6265,제주특별자치도 제주시 중앙로 373 (이도이동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
261,그랜드치과병원,응급의료기관 이외 > 치과병원,064-728-0000,"제주특별자치도 제주시 서광로 301, 6.7.8층 (이도일동)",10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,09:30~13:00,-,-
262,의료법인평촌의료재단제주대림요양병원,응급의료기관 이외 > 요양병원,064-796-0069,제주특별자치도 제주시 한림읍 한수풀로 58,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
263,제이뉴피부과의원,응급의료기관 이외 > 의원,064-803-0030,"제주특별자치도 제주시 중앙로 337, 101, 102호 (이도이동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
264,강한의원,응급의료기관 이외 > 한의원,064-713-1075,제주특별자치도 제주시 우정로 52 (외도일동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
265,소망한의원,응급의료기관 이외 > 한의원,064-757-7592,제주특별자치도 제주시 서문로 10 (용담일동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
266,고영호재활의학과의원,응급의료기관 이외 > 의원,064-721-8275,제주특별자치도 제주시 서광로 175 (용담일동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,09:00~17:30,09:00~13:00,-,-
267,제주미의원,응급의료기관 이외 > 의원,064-702-1091~3,제주특별자치도 제주시 서사로 137 (삼도일동),08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:00,08:30~12:30,08:30~12:30
268,제주늘푸른의원,응급의료기관 이외 > 의원,064-727-9696,"제주특별자치도 제주시 중앙로 132, 2층 (삼도이동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,09:30~13:00
269,닥터문의원,응급의료기관 이외 > 의원,064-756-2900,"제주특별자치도 제주시 애월읍 애조로 236, 2층 (문빌딩)",09:00~18:30,09:00~18:30,-,09:00~18:30,09:00~18:30,09:00~13:30,-,-
270,용한의원,응급의료기관 이외 > 한의원,064-712-0077,제주특별자치도 제주시 우정로 66 (외도일동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
271,웃음꽃피어나는약수당한의원,응급의료기관 이외 > 한의원,064-726-9988,"제주특별자치도 제주시 중앙로 545, 3층 (아라일동)",09:00~19:00,09:00~20:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~13:00,-,-
272,민마취통증의학과의원,응급의료기관 이외 > 의원,064-752-7775,"제주특별자치도 제주시 동문로 76, 혜강빌딩 4층 (일도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
273,보스톤치과의원,응급의료기관 이외 > 치과의원,064-725-9975,제주특별자치도 제주시 일주동로 227 (화북일동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,-,-,-
274,삼화치과의원,응급의료기관 이외 > 치과의원,064-751-2275,"제주특별자치도 제주시 건주로 43, 3층 303호 (도련일동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,-,-
275,연세정형외과의원,응급의료기관 이외 > 의원,064-757-2096,제주특별자치도 제주시 남성로 156 (삼도이동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
276,연세마음편한치과의원,응급의료기관 이외 > 치과의원,064-749-2833,"제주특별자치도 제주시 연북로 46, 연합빌딩 2층 (노형동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
277,김봉준통합치의학과치과의원,응급의료기관 이외 > 치과의원,064-752-9302,제주특별자치도 제주시 동문로 51 (건입동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
278,로즈마리의원,응급의료기관 이외 > 의원,064-727-3010,"제주특별자치도 제주시 건주로4길 6-8, 3층 301호 (도련일동)",09:30~18:30,09:30~20:00,-,09:30~18:30,08:30~18:30,09:30~14:00,-,-
279,정한의원,응급의료기관 이외 > 한의원,064-711-7510,"제주특별자치도 제주시 월랑로 23, 1층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
280,김기준이비인후과의원,응급의료기관 이외 > 의원,064-756-8900,제주특별자치도 제주시 승천로 75 (아라이동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
281,김앤김신경외과의원,응급의료기관 이외 > 의원,064-713-2500,"제주특별자치도 제주시 1100로 3324, 6층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
282,드림미성형외과의원,응급의료기관 이외 > 의원,064-749-9400,"제주특별자치도 제주시 1100로 3347, 4층 (노형동, 세기빌딩)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-
283,서울나눔마취통증의학과의원,응급의료기관 이외 > 의원,064-711-1258,"제주특별자치도 제주시 고사마루길 2, 2층 (노형동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
284,제일치과의원,응급의료기관 이외 > 치과의원,064-746-7528,제주특별자치도 제주시 수덕로 6 (노형동),10:00~18:00,10:00~18:00,14:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,-,-
285,연세포르테비뇨기과의원,응급의료기관 이외 > 의원,064-724-7575,제주특별자치도 제주시 서광로 175 (용담일동),10:00~17:30,10:00~17:30,10:00~17:30,10:00~12:00,10:00~17:30,10:00~12:00,-,-
286,센트럴치과의원,응급의료기관 이외 > 치과의원,064-757-5244,"제주특별자치도 제주시 중앙로 61, 2층 (이도일동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
287,미소치과의원,응급의료기관 이외 > 치과의원,064-748-2122,제주특별자치도 제주시 국기로 8 (연동),09:20~17:50,09:20~17:50,09:20~17:50,09:20~17:50,09:20~17:50,09:20~12:20,-,-
288,건강369의원,응급의료기관 이외 > 의원,064-722-3698,"제주특별자치도 제주시 일주동로 227, 3층 (화북일동)",08:00~18:00,08:00~18:00,08:00~12:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
289,아침한의원,응급의료기관 이외 > 한의원,064-796-0909,제주특별자치도 제주시 한림읍 한림중앙로 31,08:30~18:00,08:30~18:00,-,08:30~18:00,08:30~18:00,08:30~16:00,08:30~13:00,08:30~13:00
290,우리연세이비인후과의원,응급의료기관 이외 > 의원,064-747-3255,제주특별자치도 제주시 도령로 74 (연동),09:00~18:20,09:00~18:20,09:00~12:30,09:00~18:20,09:00~18:20,09:00~13:00,-,-
291,인수한의원,응급의료기관 이외 > 한의원,064-752-3456,제주특별자치도 제주시 관덕로 64 (일도일동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-
292,경희본한의원,응급의료기관 이외 > 한의원,064-755-7975,"제주특별자치도 제주시 중앙로 326-1, 2층 (이도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
293,대한내과의원,응급의료기관 이외 > 의원,064-746-9661,"제주특별자치도 제주시 노형11길 25, 2층 (노형동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,-,-
294,위앤장기만덕내과의원,응급의료기관 이외 > 의원,064-721-3117,"제주특별자치도 제주시 노형로 407, 302호 (노형동, 노형타워)",09:00~16:45,09:00~16:45,09:00~16:45,09:00~16:45,09:00~16:45,09:00~11:45,-,-
295,아나파마취통증의학과의원,응급의료기관 이외 > 의원,064-745-1475,"제주특별자치도 제주시 노형로 407, 403호 (노형동, 노형타워)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
296,미치과교정과치과의원,응급의료기관 이외 > 치과의원,064-747-2279,"제주특별자치도 제주시 도령로 5, 4층 (노형동)",09:30~18:30,14:00~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~13:00,-,-
297,제주아나픈치과의원,응급의료기관 이외 > 치과의원,064-747-2875,"제주특별자치도 제주시 노형로 362, 4층 (노형동)",09:00~18:30,09:30~20:30,09:00~18:30,09:30~20:30,09:00~18:30,09:30~14:00,09:30~13:00,-
298,김녕경희한의원,응급의료기관 이외 > 한의원,064-784-3375,제주특별자치도 제주시 구좌읍 김녕로 95-1,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
299,모딜리아니의원,응급의료기관 이외 > 의원,064-727-3652,제주특별자치도 제주시 서광로 278 (이도이동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,07:30~13:00,-,-
300,포에버의원,응급의료기관 이외 > 의원,647118448,"제주특별자치도 제주시 삼무로 18, 제주연동 하우스디어반 211호 (연동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-
301,이엠돌담의원,응급의료기관 이외 > 의원,064-721-3911,"제주특별자치도 제주시 일주동로 393, 2~3층 (삼양이동)",08:30~19:00,08:30~19:00,-,08:30~19:00,08:30~19:00,08:30~15:00,-,-
302,쿨맨남성의원,응급의료기관 이외 > 의원,064-711-1064,"제주특별자치도 제주시 1100로 3328, 정원빌딩 4층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
303,슬하정신건강의학과의원,응급의료기관 이외 > 의원,064-747-3217,"제주특별자치도 제주시 노형8길 2, 4층 (노형동)",09:00~17:00,09:00~12:00,-,09:00~17:00,09:00~17:00,09:00~12:00,-,-
304,늘푸른경희한의원,응급의료기관 이외 > 한의원,064-745-7510,제주특별자치도 제주시 과원북4길 29 (노형동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
305,아이틴즈치과의원,응급의료기관 이외 > 치과의원,064-749-1275,제주특별자치도 제주시 연북로 78 (연동),09:30~18:00,09:30~18:00,09:30~18:00,-,09:30~18:00,09:30~13:00,-,-
306,원치과의원,응급의료기관 이외 > 치과의원,064-745-9898,"제주특별자치도 제주시 우정로 20, 3층 (외도일동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,-,-
307,함덕의원,응급의료기관 이외 > 의원,064-783-9533,제주특별자치도 제주시 조천읍 신북로 501,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
308,원광려한의원,응급의료기관 이외 > 한의원,064-744-1075,"제주특별자치도 제주시 1100로 3334, 2층 (노형동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,-,-
309,남도의원,응급의료기관 이외 > 의원,064-712-7127,제주특별자치도 제주시 우정로 65 (외도일동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
310,제주사랑한의원,응급의료기관 이외 > 한의원,064-744-7755,"제주특별자치도 제주시 월랑로 13, 2층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,10:00~14:00,10:00~14:00
311,한빛정신건강의학과의원,응급의료기관 이외 > 의원,064-758-3878,제주특별자치도 제주시 서광로 184 (삼도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
312,엘산부인과의원,응급의료기관 이외 > 의원,064-726-6555,"제주특별자치도 제주시 중앙로 352, 4층 (이도이동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,08:30~17:30,08:30~13:00,-,-
313,외도행복치과의원,응급의료기관 이외 > 치과의원,064-748-7522,제주특별자치도 제주시 우정로15길 1 (외도일동),09:30~18:30,09:30~18:30,09:30~18:30,14:00~20:30,09:30~18:30,09:30~13:00,-,-
314,김헌지정형외과의원,응급의료기관 이외 > 의원,064-755-1081,제주특별자치도 제주시 동광로15길 4 (일도이동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
315,주 소아청소년과의원,응급의료기관 이외 > 의원,064-747-1136,"제주특별자치도 제주시 노형8길 8, 2층 (노형동)",08:30~17:30,08:30~17:30,08:30~17:30,-,08:30~17:30,08:30~13:00,-,-
316,광양한의원,응급의료기관 이외 > 한의원,064-900-0450,"제주특별자치도 제주시 서광로28길 19, 1~2층 (이도이동)",08:30~19:00,08:30~21:00,08:30~19:00,08:30~21:00,08:30~19:00,08:30~12:30,-,-
317,선한의원,응급의료기관 이외 > 한의원,064-711-1190,"제주특별자치도 제주시 수덕로 33, 3층 (노형동, 뉴타운빌딩)",09:00~18:30,09:00~20:30,09:00~18:30,09:00~20:30,09:00~18:30,09:00~13:30,-,-
318,고순희내과의원,응급의료기관 이외 > 의원,647211789,제주특별자치도 제주시 서사로 155 (삼도일동),08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~16:00,-,-
319,예강한의원,응급의료기관 이외 > 한의원,064-711-8038,"제주특별자치도 제주시 연북로 42, 녹색도시 201호 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~12:30,-,-
320,윤동원한의원,응급의료기관 이외 > 한의원,064-755-2211,"제주특별자치도 제주시 노형로 388, 2층 (노형동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,08:30~14:00
321,이도한의원,응급의료기관 이외 > 한의원,064-725-2510,제주특별자치도 제주시 승천로 81 (아라이동),09:00~21:00,09:00~19:00,09:00~14:00,09:00~21:00,09:00~19:00,09:00~14:00,-,-
322,제주시서부보건소,응급의료기관 이외 > 보건소,064-728-4111,"제주특별자치도 제주시 한림읍 강구로 5,",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
323,정내과의원,응급의료기관 이외 > 의원,064-758-2211,"제주특별자치도 제주시 동문로 70, 2층 201호 (일도이동, 화인퍼스트빌 9차)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
324,서울탑외과의원,응급의료기관 이외 > 의원,064-745-7282,"제주특별자치도 제주시 1100로 3321, 다솜빌딩 301호 (노형동)",07:30~17:00,07:30~17:00,07:30~13:00,07:30~17:00,07:30~17:00,07:30~12:00,-,-
325,강윤종소아청소년과의원,응급의료기관 이외 > 의원,064-745-1881,"제주특별자치도 제주시 일주동로 255, 3층 (화북일동)",08:30~19:00,08:30~19:00,08:30~12:30,08:30~19:00,08:30~19:00,08:30~14:00,-,08:30~12:30
326,고산의원,응급의료기관 이외 > 의원,064-773-1963,제주특별자치도 제주시 한경면 고산로 8,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
327,고영관신경외과의원,응급의료기관 이외 > 의원,064-742-7572,"제주특별자치도 제주시 연삼로 342, 2층 (도남동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
328,삼다중앙의원,응급의료기관 이외 > 의원,064-742-7517,제주특별자치도 제주시 애월읍 하귀로 41-1,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,09:00~11:00,09:00~11:00
329,연세알막툼치과보철과치과의원,응급의료기관 이외 > 치과의원,064-727-2875,"제주특별자치도 제주시 승천로 74, 2층 (아라이동)",10:00~19:00,10:00~19:00,10:00~19:00,14:00~20:00,-,-,09:00~14:00,-
330,와인피부과의원,응급의료기관 이외 > 의원,064-712-6200,"제주특별자치도 제주시 연북로 25, 3층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~15:00,-,-
331,청담루이성형외과의원,응급의료기관 이외 > 의원,064-712-8999,"제주특별자치도 제주시 노형14길 14, 3층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~20:30,10:00~16:00,-,-
332,최고이비인후과의원,응급의료기관 이외 > 의원,064-745-8575,"제주특별자치도 제주시 노형로 376, 2층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,09:00~13:00
333,홍치과의원,응급의료기관 이외 > 치과의원,064-746-9427,제주특별자치도 제주시 남녕로 48 (연동),09:30~18:00,09:30~18:00,09:30~12:30,09:30~18:00,09:30~18:00,09:30~12:30,-,-
334,한사랑정신과의원,응급의료기관 이외 > 의원,064-725-0222,"제주특별자치도 제주시 서광로 273, 3층 (이도일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
335,제주보화당한의원,응급의료기관 이외 > 한의원,064-747-8275,"제주특별자치도 제주시 노형로 407, 노형타워 B103호, 206호, 309호호 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
336,메디필산부인과의원,응급의료기관 이외 > 의원,064-725-3575,제주특별자치도 제주시 중앙로 308 (이도이동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:00,-,-
337,아이세상소아청소년과의원,응급의료기관 이외 > 의원,064-725-6047,"제주특별자치도 제주시 화삼로1길 14, 2층 (화북일동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,-,-
338,나의원,응급의료기관 이외 > 의원,064-756-2581,제주특별자치도 제주시 관덕로 60 (일도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
339,삼양가정의원,응급의료기관 이외 > 의원,064-755-0841,제주특별자치도 제주시 일주동로 366 (삼양이동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
340,제주국제공항의원,응급의료기관 이외 > 의원,064-797-2595,"제주특별자치도 제주시 공항로 2 (용담이동, 제주공항내)",10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~12:00,-,-
341,위소아청소년과의원,응급의료기관 이외 > 의원,064-746-1911,"제주특별자치도 제주시 월랑로 39, 동마빌딩 5층 (노형동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,08:30~13:00
342,사라봉한의원,응급의료기관 이외 > 한의원,064-725-1075,"제주특별자치도 제주시 동문로 96, 2층 (일도이동)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~13:00,-,-
343,이아름다운치과의원,응급의료기관 이외 > 치과의원,064-759-7528,"제주특별자치도 제주시 동광로 124, 4층 (일도이동, 기봉빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
344,작은성모의원,응급의료기관 이외 > 의원,064-756-5300,제주특별자치도 제주시 화삼북로 63 (삼양이동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,08:30~13:00
345,새김녕의원,응급의료기관 이외 > 의원,064-782-8020,제주특별자치도 제주시 구좌읍 김녕로 116,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:00,-,08:00~12:00
346,명이비인후과의원,응급의료기관 이외 > 의원,064-727-7582,제주특별자치도 제주시 서광로 215 (삼도일동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:00,-,-
347,하이치과,응급의료기관 이외 > 치과의원,064-749-7528,제주특별자치도 제주시 삼무로 2-1 (연동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~12:30,-,-
348,연세 세브란스 치과의원,응급의료기관 이외 > 치과의원,064-783-2875,"제주특별자치도 제주시 조천읍 신북로 529, 2층 (조천읍)",09:00~18:30,09:00~18:30,09:00~18:30,14:00~20:00,09:00~18:30,09:00~13:00,-,-
349,예치과의원,응급의료기관 이외 > 치과의원,064-745-2900,제주특별자치도 제주시 과원로 28 (연동),09:30~18:00,14:00~21:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
350,정성치과의원,응급의료기관 이외 > 치과의원,064-782-7528,제주특별자치도 제주시 조천읍 신북로 548 (조천읍),09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:30,-,-
351,김경락치과의원,응급의료기관 이외 > 치과의원,064-722-1602,제주특별자치도 제주시 동문로 10 (일도일동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~12:30,-,-
352,서울휴치과의원,응급의료기관 이외 > 치과의원,064-752-2800,"제주특별자치도 제주시 화삼북로 68, 삼화지구 신형빌딩 5층 501호 (도련일동)",09:30~19:00,09:30~21:00,09:30~19:00,09:30~21:00,09:30~19:00,-,-,-
353,서울고른이치과교정과치과의원,응급의료기관 이외 > 치과의원,064-747-7928,"제주특별자치도 제주시 노형12길 27, 3층 (노형동)",10:00~21:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~19:00,09:00~15:00,-,-
354,서울플란트치과의원,응급의료기관 이외 > 치과의원,064-745-2001,"제주특별자치도 제주시 1100로 3333, 6층 (노형동)",09:00~18:00,09:00~21:00,09:00~18:00,09:00~21:00,09:00~18:00,-,-,-
355,서울현치과의원,응급의료기관 이외 > 치과의원,064-726-2833,제주특별자치도 제주시 중앙로 319,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
356,다음플러스치과의원,응급의료기관 이외 > 치과의원,064-702-2875,제주특별자치도 제주시 서광로 292 (이도이동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,-,-
357,연세엘치과의원,응급의료기관 이외 > 치과의원,064-749-2200,"제주특별자치도 제주시 노형로 407, 407호 (노형동, 노형타워)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~12:30,-,-
358,힐링치과의원,응급의료기관 이외 > 치과의원,064-755-2275,제주특별자치도 제주시 승천로 75 (아라이동),09:30~20:30,09:30~18:30,09:30~18:30,09:30~20:30,09:30~18:30,-,-,-
