데이터 추출일 : 2022-08-10 21:14:54
약국명,대표전화,도로명주소,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
새우리약국,064-757-5149,제주특별자치도 제주시 서사로 36 (삼도일동),제주특별자치도 제주시 삼도일동 751-18 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,
새인선약국,02-466-4159,서울특별시 성동구 광나루로11길 41-1  (송정동),서울특별시 성동구 송정동 73-880 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,09:00~22:00
새중앙약국,055-385-0576,경상남도 양산시 서창로 59-1 (명동),,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
새하늘약국,02-971-0610,서울특별시 노원구 동일로 1308,서울특별시 노원구 중계동 515-2,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:30~22:30
새한약국,02-2651-1577,"서울특별시 강서구 등촌로 173, 1층 (등촌동)",서울특별시 강서구 등촌2동 531-1,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,18:00~22:30,
새현대약국,032-341-7467,경기도 부천시 역곡로 8  (역곡동),경기도 부천시 역곡동 82-10 ,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,08:30~25:00,08:30~25:00,
샘물약국,02-971-2268,서울특별시 노원구 노원로 43 (공릉동),서울특별시 노원구 공릉2동 230-15,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,
서문제일약국,0542917416,경상북도 포항시 남구 오천읍 정몽주로 651,경상북도 포항시 남구 오천읍 용덕리 357-2 ,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
서신토마토약국,063-274-5755,전라북도 전주시 완산구 온고을로 66,전라북도 전주시 완산구 서신동 962-3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
서울드림약국,031-915-1199,"경기도 고양시 일산동구 고봉로 20-21, 119호 (장항동, 양우로데오랜드)",,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,17:00~22:30,,17:00~23:00
서울메디약국,02-501-5063,서울특별시 강남구 역삼로 406  (대치동),서울특별시 강남구 대치동 908-2 ,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,11:00~22:00,
서울약국,044-863-8871,"세종특별자치시 남세종로 450, 보람빌딩 104호 (보람동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
서울약국,031-842-9515,경기도 의정부시 시민로131번길 7,경기도 의정부시 의정부1동 173-16,10:30~23:30,10:30~23:30,10:30~23:30,10:30~23:30,10:30~23:30,10:30~23:30,15:00~22:00,
서울중앙약국,02-313-4483,"서울특별시 용산구 청파로 378, 1층 (동자동)",서울특별시 용산구 동자동 43-205 서울역(철도역) 1층,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00
선약국,031-456-7125,경기도 의왕시 전주남이길 28  (오전동),경기도 의왕시 오전동 375-12 ,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
선약국,031-895-5888,"경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 102호 (매산로1가)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
선운포도약국,062-943-0031,"광주광역시 광산구 선운중앙로 46, 1층 (선암동)",,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30
설약국,02-825-8272,"서울특별시 동작구 노량진로 124, 1층 (노량진동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
설약국,02-2294-8274,서울특별시 성동구 마조로1길 39(행당동),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,12:00~21:00,08:00~23:00
성가약국,043-836-2405,충청북도 증평군 증평읍 광장로 91,충청북도 증평군 증평읍 교동리 30,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
성균관약국,031-292-7300,"경기도 수원시 장안구 서부로 2107, (율전동)",경기도 수원시 장안구 율전동 433-79,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
성모약국,032-583-6083,"인천광역시 서구 원창로 174, 102,103호(신현동)",인천광역시 서구 신현동 75-2,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
성모약국,061-724-5707,전라남도 순천시 해룡면 순광로 220,전라남도 순천시 해룡면 복성리595,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,17:00~22:30,17:00~22:30
성모온누리약국,031-824-6969,"경기도 의정부시 행복로 31, 1층 (의정부동)",,09:00~22:20,09:00~22:20,09:00~22:20,09:00~22:20,09:00~22:20,,,
성지약국,02-972-9890,"서울특별시 중랑구 공릉로12가길 52, (묵동)",서울특별시 중랑구 묵1동 153-35,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,17:30~22:30,17:30~22:30,17:30~22:30
성화열린약국,043-233-8207,충청북도 청주시 서원구 서부로 1350,충청북도 청주시 서원구 성화개신죽림동 717,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
세계로약국,02-962-5446,서울특별시 성북구 화랑로40길 54 (석관동),,09:00~22:50,09:00~22:50,09:00~22:50,09:00~22:50,09:00~22:50,09:00~22:50,,08:30~16:00
세계로약국,041-577-6770,충청남도 천안시 서북구 월봉로 93 (쌍용동),,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,10:00~22:00,10:00~22:00
세계로약국,061-653-9777,"전라남도 여수시 여서로 158, (여서동)",전라남도 여수시 여서동 490-7,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:30~22:00,08:30~22:00
세곡온누리약국,070-8828-7963,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
세란약국,042-486-0214,"대전광역시 서구 둔산로 34, 102호 (둔산동,씨엔씨타워)",대전광역시 서구 둔산2동 1039,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
세븐웰약국,032-328-8703,"경기도 부천시 길주로 118, 3층 (상동, 홈플러스부천상동점)",경기도 부천시 원미구 상동 540-1 삼성홈플러스상동점홈플러스상동점,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~24:00,09:00~23:00,
세원약국,02-922-6060,"서울특별시 성북구 동소문로20가길 51 (동선동1가, 수국빌딩)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,15:00~23:00,09:00~23:00
세종약국,041-579-3675,"충청남도 천안시 동남구 서부대로 276 , 101호 (신방동)","충청남도 천안시 동남구 신방동  886 학산프라자 , 101호 (신방동)",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,09:00~23:00
세종약국,051-758-4915,"부산광역시 수영구 광안해변로277번길 3, (민락동)",부산광역시 수영구 민락동 176-29,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
세화당약국,02-434-8794,서울특별시 중랑구 중랑역로 21  (중화동),서울특별시 중랑구 중화동 320-27 세화당약국 ,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:00~23:30,11:30~22:30
세화약국,064-784-8442,제주특별자치도 제주시 구좌읍 세화10길 1,제주특별자치도 제주시 구좌읍 상도리 1324-7,08:00~19:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~19:00,08:00~15:00,,08:00~12:00
센타약국,032-552-1168,"인천광역시 계양구 계산새로 93, 103호 (용종동,밀레니엄프라자)",인천광역시 계양구 용종동 211-4,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,11:00~22:00,,
센터약국,031-842-3600,"경기도 의정부시 행복로 32, 1층 (의정부동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
센트럴약국,031-870-1999,"경기도 의정부시 시민로 80, 센트럴타워 1층 106호 (의정부동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
셀약국,02-337-7959,"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,21:00~25:00,22:00~25:00
소담약국,062-651-4948,"광주광역시 서구 풍암중앙로 39, 광주은행(대복빌딩) 1층 (풍암동)",,08:30~19:30,08:30~19:30,08:30~19:30,08:30~23:00,08:30~23:00,08:30~14:00,,
송우수약국,031-541-8953,"경기도 포천시 소흘읍 솔모루로 9,",경기도 포천시 소흘읍 송우리 730-60 홈플러스1층,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,
송탄온누리약국,031-662-1102,"경기도 평택시 서정북로 71, (서정동)",경기도 평택시 서정동 782-4,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
송파24약국,02-400-1502,"서울특별시 송파구 송파대로 111, 하비오길 송파대로202동 161호 (문정동, 파크하비오)",,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00
수내365약국,070-8829-0081,"경기도 성남시 분당구 내정로173번길 49, 궁전프라자-3 1층 111호 (수내동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
수락프라자약국,02-935-7523,서울특별시 노원구 동일로 1669 (상계동),,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00
수복약국,02-714-0667,서울특별시 용산구 새창로12길 12 (도원동),,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00
수암약국,031-466-6258,"경기도 안양시 만안구 안양로292번길 31, (안양동)",경기도 안양시 만안구 안양1동 674-179,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~13:00,10:30~25:00
수약국,02-563-1601,"서울특별시 강남구 선릉로69길 19  (역삼동, 역삼래미안아파트)",서울특별시 강남구 역삼동 757 역삼래미안아파트 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,
수원제일큰약국,031-8067-7474,"경기도 수원시 팔달구 중부대로 20, 1층 (구천동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
수유프라자약국,02-985-0071,서울특별시 강북구 덕릉로 42 (수유동) ,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,
수정온누리약국,054-535-6118,경상북도 상주시 중앙로 170 (남성동),경상북도 상주시 서성동 117-5 1층,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
쉼표약국,070-8728-0008,"서울특별시 송파구 올림픽로 지하 265, 잠실역2호선 B1층 126호 (신천동)",,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00
스마일약국,053-322-1897,"대구광역시 북구 동암로12길 8, 칠곡홈플러스 1층 (동천동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
스마일약국,053-521-7831,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동 230-11(지하1층)/성서 홈플러스 내 230-11,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
스타약국,02-3481-6688,"서울특별시 서초구 강남대로 437, 대원빌딩 1층 (서초동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,,
시장약국,031-486-7033,경기도 안산시 단원구 원초로 30,경기도 안산시 단원구 원곡2동 846,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,12:00~22:30,09:00~22:00
시장약국,02-532-6210,서울특별시 동작구 동작대로29길 17 (사당동),,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~19:00,10:00~15:00,08:30~19:00
시화마트약국,031-497-4904,"경기도 시흥시 정왕대로 210 (정왕동, 이마트 1층)",,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:00~23:00,10:00~23:00
신도림서진약국,02-000-0000,"서울특별시 구로구 새말로 102, 신도림포스빌 135,136호 (구로동)",,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
신라약국,02-467-1192,"서울특별시 성동구 광나루로11길 26-1, (송정동)",서울특별시 성동구 송정동 73-608,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,11:00~22:00
신명약국,02-387-1835,서울특별시 은평구 은평로 226 (응암동),서울특별시 은평구 응암동 61-6 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,,
신미소약국,02-855-9842,서울특별시 관악구 시흥대로 578 (신림동) ,서울특별시 관악구 신림동 1643 광안프라자,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
신사역365약국,070-8864-0704,"서울특별시 강남구 도산대로 지하102, 신사역 B1층 104호 (신사동)",,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,10:00~22:30,,
신사온누리약국,02-518-6243,"서울특별시 강남구 강남대로 598, 보림빌딩 지하1층 (논현동)",,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~18:30,,
신성메디칼약국,031-234-5335,"경기도 수원시 팔달구 권광로 187, 1층 (인계동)",경기도 수원시 팔달구 인계동 1113,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,,
신성약국,031-595-8363,"경기도 남양주시 홍유릉로248번길 39, 123호 (금곡동,다남프라자)",경기도 남양주시 금곡동 651-10 외10필지 다남프라자 1층,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~13:00,10:00~20:00,10:00~01:00
신세계약국,043-292-5523,충청북도 청주시 서원구 1순환로1107번길 39 (분평동),,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,09:00~23:00
신세계약국,02-945-2636,서울특별시 종로구 종로 124-1,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,13:00~21:00,14:00~21:00
신영약국,031-204-3835,"경기도 수원시 영통구 삼성로 2 , 1층 (신동)","경기도 수원시 영통구 신동  941 , 1층 (신동)",10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~22:40
신일약국,055-384-6878,경상남도 양산시 신기로 24 (신기동),,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
신일약국,02-312-1741,서울특별시 마포구 손기정로 54 (아현동) 1층,서울특별시 마포구 아현동 706-3 1층,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,13:00~19:00,16:00~22:00,
신제일약국,031-356-7304,"경기도 화성시 남양읍 남양시장로 79, 1층 103호 ((주)픽앤츄코리아)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,
신중앙약국,02-822-0443,서울특별시 동작구 흑석로 103 (흑석동),,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,13:00~24:00,13:00~24:00,13:00~24:00
신창대형약국,062-962-2022,"광주광역시 광산구 신창로 70, 1층 (신창동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:00,09:00~21:00
신천그랜드약국,031-312-0993,경기도 시흥시 복지로 55 (대야동),,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00,09:00~22:30
신천프라자약국,031-404-9311,"경기도 시흥시 수인로 3372, 신천프라자 (신천동)",,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:30~22:00,09:30~22:00
신촌대로약국,02-6346-2882,"서울특별시 서대문구 신촌로 121, 아남오피스텔 1층 103호 (창천동)",,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00
신탄약국,042-932-1155,대전광역시 대덕구 대덕대로1470번길 68,대전광역시 대덕구 목상동 156-10,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
신평화약국,02-2233-2587,서울특별시 중구 청계천로 298  (신당동),서울특별시 중구 신당동 217-1 신평화상가 ,12:00~23:59,12:00~23:59,12:00~23:59,12:00~23:59,12:00~23:59,,,
신현대약국,051-802-4605,"부산광역시 부산진구 가야대로 761, 1층 (부전동)",부산광역시 부산진구 부전동 485번지 13호,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:00,,
쌍용부광약국,041-567-6770,"충청남도 천안시 서북구 충무로 155 (쌍용동, 우리척병원)",,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,09:00~24:00,09:00~24:00
아람약국,044-862-5265,"세종특별자치시 보듬3로 143, 대영프라자 102호 (아름동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
아름다운달과별약국,02-3157-2088,"서울특별시 은평구 통일로 855-8, (갈현동, 연신내진원와이타운)",서울특별시 은평구 갈현동 396-12,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~22:00,10:00~22:00
아림약국,02-884-5221,서울특별시 관악구 호암로26길 57,서울특별시 관악구 대학동 1516-9,10:00~22:40,10:00~22:40,10:00~22:40,10:00~22:40,10:00~22:40,10:00~22:40,,
아이약국,043-221-8275,충청북도 청주시 청원구 주성로 273 (주성동),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~18:00,09:00~18:00,09:00~18:00
안재경약국,043-847-3363,충청북도 충주시 국원대로 184,충청북도 충주시 연수동 881,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,09:00~24:00,08:30~23:30
압구정예주약국,02-545-3819,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
앞서가는 21세기 약국,031-266-5235,"경기도 용인시 수지구 대지로 20, 죽전빌딩 101, 102호 (죽전동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,10:00~22:00,09:00~22:00
약사랑약국,02-2039-9112,"서울특별시 강남구 테헤란로 339, 1층 (역삼동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~20:00,09:00~20:00,09:00~20:00
약손약국,063-861-1033,전라북도 익산시 함열읍 함열중앙로 7,전라북도 익산시 함열읍 와리 546-1,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00
약수태평양약국,02-812-7088,서울특별시 동작구 장승배기로 7 (상도동),,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,
양생약국,02-872-9954,"서울특별시 관악구 남부순환로234길 27, (봉천동)",서울특별시 관악구 낙성대동 1621-1,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,,09:00~23:00
양월약국,02-2226-5987,"서울특별시 강남구 개포로82길 13-11, 105호 (개포동)",,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,
에메랄드약국,02-3443-0991,"서울특별시 강남구 도산대로 122, 에메랄드타워 1층 (논현동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~22:30,10:00~22:00,10:00~22:00
에버그린약국,031-282-3298,"경기도 용인시 기흥구 용구대로 2457 , 1층 (보정동)","경기도 용인시 기흥구 보정동 1019-488 이마트트레이더스 구성점 , 1층",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,,
여의도씨티약국,02-784-8285,"서울특별시 영등포구 여의대방로 375, 109호(여의도동,아일렉스타워)",서울특별시 영등포구 여의도동 44-37,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~18:00,,
역전약국,042-256-3731,대전광역시 동구 대전로 812 (정동),,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20
역전약국,031-245-3521,"경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 2층 211호 (매산로1가)",,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00
연남약국,02-336-1533,서울특별시 마포구 양화로21길 31  (동교동),서울특별시 마포구 동교동 153-1 ,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00
연진약국,02-462-3355,서울특별시 광진구 아차산로29길 12,서울특별시 광진구 화양동 9-90,11:30~23:45,11:30~23:45,11:30~23:45,11:30~23:45,11:30~23:45,11:30~23:45,,
열린마트약국,031-468-1662,경기도 안양시 동안구 비산로52번길 20,경기도 안양시 동안구 비산동 544-1 ,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,
열린연세약국,032-882-7749,인천광역시 미추홀구 토금남로 55,인천광역시 남구 학익동 661-1 ,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~18:00,09:00~18:00,09:00~18:00
열한시약국,070-8842-5555,"경기도 용인시 기흥구 죽전로 49, 씨티프라자 302호 (보정동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
염약국,063-278-7989,전라북도 전주시 덕진구 매봉로 29-1 (금암동),,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
영광약국,051-247-7989,부산광역시 서구 대영로 65-1,부산광역시 서구 부용동2가 87-1,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
영광종로약국,042-931-6375,"대전광역시 유성구 반석로 23, 1층 104호 (반석동, 제일프라자)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
영대정문약국,053-811-5354,경상북도 경산시 대학로 285 (대동),,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:00,10:00~22:00,10:00~22:00
영동약국,031-418-3112,"경기도 안산시 상록구 용신로 382, 105~106호 (본오동, 상경빌딩)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00
영재약국,064-783-1959,제주특별자치도 제주시 조천읍 신북로 510-1,제주특별자치도 제주시 조천읍 함덕리 1253-3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:30~18:00,11:00~20:00,09:00~12:00
영주대학로약국,054-638-1266,"경상북도 영주시 대학로 323, 1층 (가흥동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
영천온누리약국,070-4233-7000,경상북도 포항시 북구 장량로 32 (장성동),경상북도 포항시 북구 장성동 1527번지 3호,08:30~22:45,08:30~22:45,08:30~22:45,08:30~22:45,08:30~22:45,08:30~22:00,16:00~22:00,08:30~22:00
예약국,054-334-2111,"경상북도 영천시 청솔길 23-6 (망정동, 청솔아파트)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
오가네약국,061-724-5505,전라남도 순천시 해룡면 신대로 116 ,전라남도 순천시 해룡면 신대리 1985-4 ,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00
오렌지 은 약국,061-685-9400,전라남도 여수시 시청로 34  (학동),전라남도 여수시 학동 36-1 ,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~22:00,08:30~22:00,15:00~22:00,08:30~22:00
오룡대형약국,042-222-0666,"대전광역시 중구 계룡로 809, 1층 (용두동, 동성빌딩)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
오름아래약국,064-805-2093,"제주특별자치도 제주시 삼무로 18, 제주연동 하우스디어반 105호 (연동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:30~14:00,
오메가약국,032-574-7533,인천광역시 동구 봉수대로 82,인천광역시 동구 송림동 296-2,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,10:00~22:30
오약국,055-354-8607,"경상남도 밀양시 중앙로 289, (삼문동)",경상남도 밀양시 삼문동 220-7,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,11:00~19:00,10:00~22:00
온누리대산약국,02-853-4967,"서울특별시 관악구 시흥대로 560, 1층 (신림동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,17:00~22:00,
온누리동광약국,052-296-6786,"울산광역시 중구 손골4길 6, 1층 (복산동)",,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
